type,label,l,ml,h,conf
tef,frequent,10,24,52,4
tef,occasional,1,6,12,4
tef,rare,0,0.1,1,4
tc,high,0.50,0.75,0.98,3
tc,medium,0.33,0.50,0.60,3
tc,low,0,0.16,0.30,4
diff,5 - Optimized,0.70,0.85,0.98,4
diff,4 - Managed,0.50,0.70,0.84,4
diff,3 - Defined,0.33,0.50,0.60,4
diff,2 - Repeatable,0.20,0.30,0.50,4
diff,1 - Initial,0,0.10,0.30,4
lm,high,1000000,5000000,16000000,4
lm,medium,10000,20000,500000,4
lm,low,100,200,10000,1
